Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Lifeline Ventures,https://angel.co/lifeline-ventures,5,Jan '12,Helsinki,"",http://www.lifelineventures.com/,"",Seed,20700000
Localbitcoins,https://angel.co/localbitcoins,5,Jun '13,Helsinki,Financial Exchanges,https://localbitcoins.com,1-10,"",""
Kiosked,https://angel.co/kiosked,5,Oct '14,Helsinki,Advertising Platforms,http://www.kiosked.com,51-200,Series B,12650000
Matchmade,https://angel.co/shark-punch,5,Mar '14,Helsinki,Advertising Platforms,http://matchmade.tv/,11-50,Seed,3030000
Enevo,https://angel.co/enevo,5,Jun '14,Espoo,Logistics,http://enevo.com/,51-200,Series B,26840000
Audiodraft,https://angel.co/audiodraft,5,Apr '12,Helsinki,Audio,http://www.audiodraft.com/,1-10,"",400000
Blaast,https://angel.co/blaast,5,Aug '12,Helsinki,Mobile,http://www.blaast.com,"",Seed,3700000
Grey Area,https://angel.co/grey-area,5,Oct '12,Helsinki,Mobile Games,http://greyarealabs.com,11-50,"",2600000
Grand Cru,https://angel.co/grand-cru,5,Sep '11,Helsinki,Mobile Games,http://www.grandcrugames.com,"","",13000000
ThingLink,https://angel.co/thinglink,5,Sep '11,Helsinki,NFC,http://www.thinglink.com,"",Seed,3300000
Bitbar,https://angel.co/bitbar,5,Nov '11,Helsinki,Android,http://www.bitbar.com,11-50,"",3000000
Walkbase,https://angel.co/walkbase,5,Oct '11,Finland,Retail Technology,http://www.walkbase.com,11-50,Series A,7360000
Yousician,https://angel.co/yousician,5,Jun '11,New York City,Mobile Games,https://company.yousician.com/,51-200,Seed,1400000
Flowdock,https://angel.co/flowdock,5,Apr '11,Helsinki,Productivity Software,http://www.flowdock.com/,"",Acquired,650000
Supercell,https://angel.co/supercell,5,Jan '12,Helsinki,Mobile Games,http://www.supercell.net/,"",Acquired,3272000000
Inventure,https://angel.co/inventure-oy,5,Apr '16,Helsinki,Nordics,http://www.inventure.fi,1-10,"",""
Nokia,https://angel.co/nokia,5,Jan '12,Helsinki,Mobile,http://nokia.com,"","",""
Futurefly,https://angel.co/futurefly,5,Oct '15,Helsinki,Messaging,http://www.futurefly.net,11-50,"",""
Sofanatics,https://angel.co/sofanatics,5,May '12,Helsinki,Social Television,http://sofanatics.com,"","",""
SingOn,https://angel.co/singon,5,Aug '11,Finland,Music Services,http://www.singon.com,1-10,Seed,1800000
Holvi,https://angel.co/holvi,5,Sep '11,Helsinki,Small and Medium Businesses,https://holvi.com,51-200,Acquired,""
B2B Pay,https://angel.co/b2b-pay,5,Nov '15,Helsinki,B2B,https://www.b2bpay.co/,1-10,"",""
Usetrace,https://angel.co/usetrace,5,Jun '13,Helsinki,B2B,http://usetrace.com?utm_source=angelco,1-10,Seed,154400
Plug and Play International Accelerator,https://angel.co/pnpintl,5,Mar '13,Singapore,"",http://www.plugandplaytechcenter.com,11-50,"",""
Jaiku,https://angel.co/jaiku,5,Jan '12,Helsinki,Mobile,http://www.jaiku.com,"",Acquired,12000000
AppGyver,https://angel.co/appgyver,5,Aug '11,Helsinki,Application Platforms,http://www.appgyver.com,11-50,"",3000000
Fifth Corner Inc. ,https://angel.co/you-app,5,Mar '13,Helsinki,B2B,http://fifthcornerinc.com,1-10,Seed,550000
PromoRepublic.com,https://angel.co/promorepublic,5,Mar '13,Helsinki,Social Media Marketing,http://promorepublic.com,11-50,"",225000
Valkee,https://angel.co/valkee,5,Apr '15,Oulu,Hardware + Software,http://valkee.com,"",Series A,9700000
Boomlagoon,https://angel.co/boomlagoon,5,Jun '12,Helsinki,Mobile Games,http://www.boomlagoon.com/,"",Acquired,3600000
PlayRaven Oy,https://angel.co/playraven-oy,5,Apr '14,Helsinki,Mobile Games,http://www.playraven.com/,"",Seed,2300000
Rovio Entertainment,https://angel.co/rovio-entertainment,5,Aug '13,Espoo,Mobile Games,http://www.rovio.com,"",Series A,76100000
Moves,https://angel.co/moves,5,May '13,Helsinki,Fitness,http://moves-app.com,1-10,Acquired,1600000
Startup Sauna,https://angel.co/startupsauna,5,Mar '13,Helsinki,High Tech,http://www.startupsauna.com,1-10,"",""
Domos Labs,https://angel.co/domos-labs,5,Oct '13,Oulu,Internet of Things,http://domos.no,1-10,"",""
Vizor,https://angel.co/vizor,5,May '15,Helsinki,Graphics,http://vizor.io,1-10,"",""
Tellyo,https://angel.co/tellyo,5,Nov '11,Helsinki,Internet TV,http://www.tellyo.com,1-10,"",""
Cabforce,https://angel.co/cabforce,5,Jun '11,Espoo,Taxis,http://www.cabforce.com,"","",""
Smarp,https://angel.co/smarp-smarpshare,5,Jun '13,Helsinki,SaaS,http://www.smarp.com,51-200,"",400000
Caspida,https://angel.co/caspida,5,Mar '14,Helsinki,Software,http://aspida.com,"","",654000
Plango,https://angel.co/plango,5,Jun '11,Helsinki,Group SMS,http://www.myplango.com,"","",""
Venuu,https://angel.co/venuu,5,Dec '13,Helsinki,B2B,http://venuu.fi,1-10,Seed,""
Starttaamo ry,https://angel.co/starttaamo-ry,5,Jan '13,Oulu,Startups,http://www.starttaamo.fi,"","",""
Mindfield Games,https://angel.co/mindfield-games,4,May '14,Helsinki,"",http://www.mindfieldgames.com,1-10,"",""
Playmysong,https://angel.co/playmysong,4,Sep '12,Helsinki,Location Based Services,http://www.playmysong.com,1-10,"",""
Aito Technologies,https://angel.co/aito-technologies,4,Jan '12,Espoo,Software,http://www.aitotechnologies.com,"",Acquired,3400000
Arctic Startup Syndicate,https://angel.co/arctic-startup-syndicate,4,Nov '14,Helsinki,Incubators,http://www.flight.vc,"","",""
Uplause,https://angel.co/uplause,4,Apr '12,Helsinki,Sponsorship,http://www.uplause.com,"","",""
IndoorAtlas,https://angel.co/indooratlas,4,Jul '13,Oulu,Mobile Advertising,http://www.indooratlas.com,11-50,Series A,15140000
Reaktor Ventures,https://angel.co/reaktorventures,4,Feb '13,Helsinki,"",http://reaktorventures.com,201-500,"",""
Smartly.io,https://angel.co/smartly-io,4,Jan '14,Helsinki,Advertising Platforms,https://www.smartly.io,201-500,"",""
Claned Group,https://angel.co/claned,4,Nov '12,Helsinki,Corporate Training,http://www.claned.com,11-50,Seed,3000000
Ninchat,https://angel.co/ninchat,4,Feb '13,Helsinki,Messaging,http://ninchat.com,1-10,"",""
CarboCulture,https://angel.co/carboculture,4,Jun '17,Modesto,Industrial,http://carboculture.com,"","",670000
Wolt,https://angel.co/wolt,4,Apr '15,Helsinki,Europe,https://wolt.com,51-200,"",""
NurseBuddy,https://angel.co/nursebuddy,4,May '13,Tampere,Mobile Health,http://nursebuddy.co,1-10,"",800000
Futureplay Games,https://angel.co/futureplay-games-1,4,May '17,Helsinki,Mobile Advertising,http://www.futureplaygames.com,"","",""
callstats.io,https://angel.co/callstats-io,4,Oct '13,Helsinki,Real Time,http://www.callstats.io,11-50,Series A,3000000
SwipeToMeet,https://angel.co/meetin-gs,4,Sep '11,Helsinki,Meeting Software,http://www.swipetomeet.com,1-10,Seed,888000
Oppex,https://angel.co/oppex-1,4,Oct '14,Helsinki,Search,http://oppex.com,"",Seed,3800000
Senseg,https://angel.co/senseg,4,Jan '12,Helsinki,Interface Design,http://www.senseg.com,"",Series B,6000000
First Fellow Partners,https://angel.co/first-fellow-partners,4,Oct '16,Helsinki,Venture Capital,http://www.firstfellow.com,1-10,"",""
Verto Analytics,https://angel.co/verto-analytics,4,Sep '14,Espoo,Market Research,http://www.vertoanalytics.com,51-200,Series B,23900000
Ministry of Games,https://angel.co/ministry-of-games,4,Sep '14,Helsinki,Mobile Games,http://www.ministryofgames.io,1-10,Seed,2000000
ArcticStartup,https://angel.co/arcticstartup,4,Apr '13,Helsinki,Events,http://www.arcticstartup.com/,1-10,"",""
BEIBAMBOO,https://angel.co/beibamboo,4,Jun '14,Helsinki,Hospitals,http://www.beibamboo.com,"","",""
TrademarkNow,https://angel.co/trademarknow,4,Nov '12,Helsinki,Intellectual Property,http://www.trademarknow.com,11-50,Series A,4150000
Finnish Industry Investment,https://angel.co/finnish-industry-investment,4,Jun '14,Helsinki,"",http://www.industryinvestment.com/,"","",""
ZenRobotics Oy,https://angel.co/zenrobotics-oy,4,Jan '12,Helsinki,Manufacturing,http://www.zenrobotics.com,"","",17000000
NewCo Helsinki Accelerator,https://angel.co/newcoaccelerator-finland,4,May '15,Helsinki,"",http://www.newcohelsinki.fi/accelerator,"","",""
Bomberbot,https://angel.co/bomberbot,4,Mar '14,Helsinki,Educational Games,http://www.bomberbot.com,11-50,"",""
Nokia Siemens Networks,https://angel.co/nokia-siemens-networks,4,Jan '12,Espoo,Semiconductors,http://www.nokiasiemensnetworks.com/,"","",""
Biddl,https://angel.co/biddl-1,4,Nov '15,Helsinki,Mobile Commerce,https://biddl.com,"",Seed,300000
MyNextRun,https://angel.co/mynextrun,4,Apr '13,Helsinki,Marketplaces,https://www.mynextrun.com,11-50,Seed,1098000
Fastr,https://angel.co/fastr-io,4,Jan '13,Espoo,EBooks,http://www.fastr.io,1-10,Seed,100000
Solu,https://angel.co/solu,4,Dec '15,Helsinki,Operating Systems,http://www.solu.co/,11-50,Seed,1300000
Singa,https://angel.co/singa,4,Jul '13,Helsinki,Video Streaming,http://sin.ga/,11-50,"",""
Wavesum,https://angel.co/wavesum,4,Jul '11,Helsinki,Audio,http://wavesum.net,"","",""
AppCampus,https://angel.co/appcampus,4,Apr '13,Espoo,Mobile,http://appcampus.fi,1-10,"",""
Tribe Studios - acquired by @palringo,https://angel.co/tribe-studios,4,Jan '12,Finland,Simulation,http://www.dramagame.com,1-10,Seed,650000
Foodie.fm,https://angel.co/foodie-fm,4,Aug '11,Helsinki,Groceries,http://en.foodie.fm,"","",""
Advacam,https://angel.co/advacam,4,May '12,Espoo,Diagnostics,http://www.advacam.com,"","",""
Meemoo,https://angel.co/meemoo,4,Mar '12,Helsinki,"",http://meemoo.org/,"","",""
drawElements,https://angel.co/drawelements,4,Jan '12,Helsinki,"",http://www.drawelements.com,"","",""
Zoined Oy,https://angel.co/zoined-oy,4,Dec '13,Helsinki,Hospitality,http://www.zoined.com,11-50,"",1505000
Vendep,https://angel.co/vendep,4,Oct '13,Finland,"",http://vendep.com,1-10,"",""
Gorilla Ventures Oy,https://angel.co/gorilla-ventures-oy,4,Jan '12,Helsinki,B2B,http://www.gorillaventures.fi,"","",""
Scoopshot / P2S Media Group,https://angel.co/scoopshot-p2s-media-group,4,Jun '13,Helsinki,Crowdsourcing,http://www.scoopshot.com,11-50,Series A,3900000
Coinmotion,https://angel.co/coinmotion,4,Sep '13,Helsinki,Bitcoin,http://www.coinmotion.com,1-10,"",""
Depth Guru,https://angel.co/depth-guru,4,Nov '14,Helsinki,Scandinavian Market,http://depthguru.com,"","",""
EzyInsights,https://angel.co/ezyinsights,4,Sep '13,Helsinki,Journalism,https://www.ezyinsights.com/,1-10,Seed,808620
Innopinion Ltd Oy,https://angel.co/innopinion-ltd-oy,4,Nov '11,Oulu,Nonprofits,http://www.innopinion.com,1-10,Seed,""
bttn,https://angel.co/bttn,4,Jul '14,Helsinki,Europe,http://bt.tn,"",Seed,4000000
MePIN / Meontrust,https://angel.co/mepin-meontrust,4,Jan '12,Helsinki,Mobile Payments,https://www.mepin.com/,1-10,"",""
Scoopinion,https://angel.co/scoopinion,4,Oct '11,Finland,News,http://www.scoopinion.com/,"","",320000
M-REPORTING,https://angel.co/protieto,4,Oct '13,Tampere,Location Based Services,https://m-reporting.com,1-10,Seed,336000
Traplight Games,https://angel.co/traplight-games,4,Mar '15,Finland,Mobile Games,http://www.traplightgames.com,11-50,"",2160000
Selma Finance,https://angel.co/selma-finance,4,Jul '16,Helsinki,Investment Banking,http://www.selma.io,"","",""
AppFollow,https://angel.co/appfollow,4,Apr '15,Helsinki,App Stores,http://appfollow.io,1-10,Seed,50000
Rebound Mobile,https://angel.co/rebound-mobile,4,Jul '16,Helsinki,South Korea ,http://www.reboundmobile.com,1-10,"",""
