"url","Profile Link 2","Profile Link 2_alt","Profile Link 2_link","Profile Link 3","Profile Link 3_link","Blurb Block","Blurb Link","Blurb Link_link","Tags 1","Tags 1_link","Tags 2","Tags 2_link","Investments","Followers"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/21183-medium_jpg?1455997512","Christian Thaler-Wolski","https://angel.co/christian-wolski","Christian Thaler-Wolski","https://angel.co/christian-wolski","Early stage investor, advisor to tech companies.Know a thing about SaaS metrics, software pricing strategy and building a sales team.","","","Helsinki","https://angel.co/helsinki","Business Services","https://angel.co/business-services","15","2728"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/20823-medium_jpg?1405450678","Nikolaj Nyholm","https://angel.co/nikolaj","Nikolaj Nyholm","https://angel.co/nikolaj","4-time entrepreneur gone VC. Gaming and open source","","","Helsinki","https://angel.co/helsinki","Open Source","https://angel.co/open-source","10","1520"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/18488-medium_jpg?1405448694","Ville Miettinen","https://angel.co/ville-miettinen","Ville Miettinen","https://angel.co/ville-miettinen","Founder & CEO at @Microtask. Founder & CTO of @Hybrid Graphics (@Nvidia Finland). HackFwd referrer. Coach at Startup Sauna.","@Microtask; @Hybrid Graphics; @Nvidia","https://angel.co/microtask; https://angel.co/hybrid-graphics; https://angel.co/nvidia","Helsinki","https://angel.co/helsinki","Graphics","https://angel.co/graphics","5","4051"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/23449-medium_jpg?1440398903","Daniel Waterhouse","https://angel.co/daniel-waterhouse","Daniel Waterhouse","https://angel.co/daniel-waterhouse","VC with Balderton Partners","","","Helsinki","https://angel.co/helsinki","B2B","https://angel.co/b2b","20","1643"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/10245-medium_jpg?1405442681","Scott Sage","https://angel.co/scott-sage","Scott Sage","https://angel.co/scott-sage","VC, Angel Investor & Startup Advisor","","","Helsinki","https://angel.co/helsinki","Open Source","https://angel.co/open-source","23","4010"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/4555-medium_jpg?1520281929","Net Jacobsson","https://angel.co/netjacobsson","Net Jacobsson","https://angel.co/netjacobsson","Entrepreneur. Investor. Former Executive at @Facebook. Mountain Biker. Father of 5.","@Facebook","https://angel.co/facebook","Palo Alto","https://angel.co/palo-alto","Cyber Security","https://angel.co/cyber-security","33","3031"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/1462-medium_jpg?1405434184","Sean Seton-Rogers","https://angel.co/setonrog","Sean Seton-Rogers","https://angel.co/setonrog","General Partner at PROfounders Capital","","","London","https://angel.co/london","Location Based Services","https://angel.co/location-based-services","22","3434"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/1810-medium_jpg?1474783836","Richard Muirhead","https://angel.co/richard-richardmuirhead-com","Richard Muirhead","https://angel.co/richard-richardmuirhead-com","Partner @Fabric_vc Venture Partner @OpenOcean . ex CEO @Automic CoFndr @Firestartr @Tideway Systems @Orchestream EIR at @Accel","@OpenOcean; @Automic; @Firestartr; @Tideway Systems; @Orchestream; @Accel","https://angel.co/openocean; https://angel.co/automic; https://angel.co/firestartr; https://angel.co/tideway-systems; https://angel.co/orchestream; https://angel.co/accel-partners","Helsinki","https://angel.co/helsinki","B2B","https://angel.co/b2b","17","2378"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/35279-medium_jpg?1525158859","Jyri Engeström","https://angel.co/jyri-zengestrom-com","Jyri Engeström","https://angel.co/jyri-zengestrom-com","Early stage investor, General Partner @YesVC. Founder Ditto (sold to @Groupon) & @Jaiku (sold to @Google)","@Groupon; @Jaiku; @Google","https://angel.co/groupon; https://angel.co/jaiku; https://angel.co/google","Helsinki","https://angel.co/helsinki","Mobile Games","https://angel.co/mobile-games-1","13","3676"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/35890-medium_jpg?1405464329","Paul Ford","https://angel.co/paulbford","Paul Ford","https://angel.co/paulbford","Vice President, @SendGrid Entrepreneur, Technologist, Strategist, Startup Advisor, VC Whisperer, Connector of Dots, Marketer & Creator of Cool Stuff","@SendGrid","https://angel.co/sendgrid","Dallas","https://angel.co/dallas","All Markets","https://angel.co/all-markets","0","1858"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/47993-medium_jpg?1405470024","Petteri Koponen","https://angel.co/hoopeekoo","Petteri Koponen","https://angel.co/hoopeekoo","Entrepreneur, founding partner at @Lifeline Ventures - http://lifelineventures.com Investing in early-stage companies in health, Web and games.","@Lifeline Ventures","https://angel.co/lifeline-ventures","Helsinki","https://angel.co/helsinki","Location Based Services","https://angel.co/location-based-services","20","1364"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/352201-medium_jpg?1537542269","Dominic Rubas","https://angel.co/dominic-rubas","Dominic Rubas","https://angel.co/dominic-rubas","Serial Entrepreneur & Angel Investor from Switzerland","","","Helsinki","https://angel.co/helsinki","B2B","https://angel.co/b2b","18","708"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/429786-medium_jpg?1463641657","Mika Aro","https://angel.co/mika-aro","Mika Aro","https://angel.co/mika-aro","Co-founder of several succesfull retail companies in Finland - exit made. Experienced executive. Master of Science (Economics). Member in Directors' Institute of Finland.","","","Finland","https://angel.co/finland","Clean Technology","https://angel.co/clean-technology","5","128"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/433936-medium_jpg?1539658454","Preston Junger","https://angel.co/prestonjunger","Preston Junger","https://angel.co/prestonjunger","Founder @ Mile Square Labs | Former Yelp VP Sales | Help Startups Grow-up","","","Hoboken","https://angel.co/hoboken","Mobile Commerce","https://angel.co/mobile-commerce-1","8","744"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/96361-medium_jpg?1462968769","Chris Barchak","https://angel.co/chris-barchak","Chris Barchak","https://angel.co/chris-barchak","Partner @ Conor Venture Partners. Previously FGPE and Index Ventures. MIT CS+MBA. Professional early stage tech VC in Nordics/Baltics, potential angel elsewhere","","","Helsinki","https://angel.co/helsinki","Databases","https://angel.co/databases","4","732"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/105188-medium_jpg?1405522169","Henric Suuronen","https://angel.co/henric-suuronen","Henric Suuronen","https://angel.co/henric-suuronen","Co-founder of @NONSTOP GAMES acquired by King. Angel investor in 10+ companies.","@NONSTOP GAMES","https://angel.co/nonstop-games","Helsinki","https://angel.co/helsinki","Game Mechanics","https://angel.co/game-mechanics","10","656"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/183479-medium_jpg?1405544544","Open Ocean Capital","https://angel.co/open-ocean-capital","Open Ocean Capital","https://angel.co/open-ocean-capital","Open Ocean partners with software entrepreneurs to build global winners. We like large user-bases; disrupting markets; large amounts of data; and selling B2B.","","","Helsinki","https://angel.co/helsinki","Social Media","https://angel.co/social-media","17","97"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/97510-medium_jpg?1405524065","Tero Ojanpera","https://angel.co/tero-i-ojanpera","Tero Ojanpera","https://angel.co/tero-i-ojanpera","Managing Partner, Vision+ Fund; Ex CTO, Chief Strategy Officer, Nokia; Board Kiosked","","","Finland","https://angel.co/finland","Social Media Platforms","https://angel.co/social-media-platforms","8","312"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/169201-medium_jpg?1410543311","Vesa Perala","https://angel.co/vesa-perala","Vesa Perala","https://angel.co/vesa-perala","I'm the founder of Claned, Learning Intelligence Group, GraphoGame and Inbot.","","","Berlin","https://angel.co/berlin","Online Dating","https://angel.co/online-dating","3","413"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/261313-medium_jpg?1463304846","Sami Ahvenniemi","https://angel.co/sami-ahvenniemi","Sami Ahvenniemi","https://angel.co/sami-ahvenniemi","Senior Advisor and formerly Founding Partner at Conor Venture Partners.","","","Helsinki","https://angel.co/helsinki","Databases","https://angel.co/databases","16","229"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/225285-medium_jpg?1405536677","Pekka Vartiainen","https://angel.co/kaapoz","Pekka Vartiainen","https://angel.co/kaapoz","Hands-on investor in mobile and health- tech start-ups. Former Venture Partner at Sunstone Capital and Nokia Executive.","","","Helsinki","https://angel.co/helsinki","Social CRM","https://angel.co/social-crm","5","139"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/367028-medium_jpg?1405620083","Lawrence Barclay","https://angel.co/lawrence-barclay","Lawrence Barclay","https://angel.co/lawrence-barclay","Investor at Manta Ray","","","Helsinki","https://angel.co/helsinki","Apps","https://angel.co/apps","10","436"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/49607-medium_jpg?1405470475","Mia Lewin","https://angel.co/mia-lewin","Mia Lewin","https://angel.co/mia-lewin","Start-Up Advisor, Tech Executive, Serial Entrepreneur.","","","Helsinki","https://angel.co/helsinki","Women-Focused","https://angel.co/women-focused","0","266"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/100760-medium_jpg?1405520837","Riku Seppälä","https://angel.co/rikuvs","Riku Seppälä","https://angel.co/rikuvs","Founder, partner at Icebreaker.vc. entrepreneur; code and marketing.","","","Helsinki","https://angel.co/helsinki","B2B","https://angel.co/b2b","13","516"
"https://angel.co/finland/investors","https://d1qb2nb5cznatu.cloudfront.net/users/91194-medium_jpg?1405485588","Tim He","https://angel.co/timhe","Tim He","https://angel.co/timhe","VC @Northzone • Co-founder of @Groupon in China • Passionate about consumer tech, e-commerce, everything connected • @Harvard Business School @Oxford University","@Northzone; @Groupon; @Harvard Business School; @Oxford University","https://angel.co/northzone; https://angel.co/groupon; https://angel.co/harvard-business-school; https://angel.co/oxford-university","Stockholm","https://angel.co/stockholm","Clean Technology","https://angel.co/clean-technology","3","430"
